EntryTime,Side,EntryPrice,ExitTime,ExitPrice,Reason,Exit_SL_Value,PnL_Points,PnL_INR
2025-04-23 09:45:00+05:30,BUY_CE,24340.45,2025-04-23 10:00:00+05:30,24298.32,Initial SL Hit,24298.32,-42.13,-3159.75
2025-04-23 10:10:00+05:30,SELL_PE,24190.65,2025-04-23 10:55:00+05:30,24139.5,SL Hit,24139.5,51.15,3836.25
2025-04-23 11:30:00+05:30,BUY_CE,24207.9,2025-04-23 11:50:00+05:30,24241.8,SL Hit,24241.8,33.9,2542.5
2025-04-23 12:45:00+05:30,BUY_CE,24233.0,2025-04-23 13:05:00+05:30,24256.75,SL Hit,24256.75,23.75,1781.25
2025-04-23 13:40:00+05:30,BUY_CE,24274.65,2025-04-23 14:35:00+05:30,24305.1,SL Hit,24305.1,30.45,2283.75
2025-04-24 09:45:00+05:30,SELL_PE,24248.65,2025-04-24 09:50:00+05:30,24273.93,Initial SL Hit,24273.93,-25.28,-1896.0
2025-04-24 10:20:00+05:30,BUY_CE,24301.95,2025-04-24 11:20:00+05:30,24272.44,Initial SL Hit,24272.44,-29.51,-2213.25
2025-04-25 09:40:00+05:30,SELL_PE,24208.15,2025-04-25 09:40:00+05:30,24195.15,SL Hit,24195.15,13.0,975.0
2025-04-25 09:45:00+05:30,SELL_PE,24168.8,2025-04-25 10:05:00+05:30,23975.18,SL Hit,23975.18,193.62,14521.5
2025-04-25 12:10:00+05:30,BUY_CE,23938.15,2025-04-25 12:15:00+05:30,23951.15,SL Hit,23951.15,13.0,975.0
2025-04-25 12:20:00+05:30,BUY_CE,23939.0,2025-04-25 12:30:00+05:30,23952.0,SL Hit,23952.0,13.0,975.0
2025-04-25 12:35:00+05:30,BUY_CE,23984.25,2025-04-25 12:40:00+05:30,23953.89,Initial SL Hit,23953.89,-30.36,-2277.0
2025-04-25 13:00:00+05:30,BUY_CE,24026.95,2025-04-25 13:00:00+05:30,24039.95,SL Hit,24039.95,13.0,975.0
2025-04-25 13:05:00+05:30,BUY_CE,24042.0,2025-04-25 13:05:00+05:30,24055.0,SL Hit,24055.0,13.0,975.0
2025-04-25 13:50:00+05:30,BUY_CE,24120.1,2025-04-25 14:00:00+05:30,24139.6,SL Hit,24139.6,19.5,1462.5
2025-04-25 14:30:00+05:30,SELL_PE,24065.6,2025-04-25 14:35:00+05:30,24052.6,SL Hit,24052.6,13.0,975.0
2025-04-25 14:40:00+05:30,SELL_PE,24064.3,2025-04-25 14:40:00+05:30,24051.3,SL Hit,24051.3,13.0,975.0
2025-04-25 15:10:00+05:30,SELL_PE,24052.95,2025-04-25 15:25:00+05:30,23991.65,EOD Exit,23996.1,61.3,4597.5
2025-04-28 09:30:00+05:30,BUY_CE,24184.3,2025-04-28 09:40:00+05:30,24213.77,SL Hit,24213.77,29.47,2210.25
2025-04-28 10:10:00+05:30,BUY_CE,24275.85,2025-04-28 12:00:00+05:30,24288.85,SL Hit,24288.85,13.0,975.0
2025-04-28 12:20:00+05:30,BUY_CE,24321.3,2025-04-28 12:35:00+05:30,24342.1,SL Hit,24342.1,20.8,1560.0
2025-04-28 14:20:00+05:30,SELL_PE,24304.7,2025-04-28 14:45:00+05:30,24275.45,SL Hit,24275.45,29.25,2193.75
2025-04-28 15:15:00+05:30,BUY_CE,24335.8,2025-04-28 15:25:00+05:30,24314.34,Initial SL Hit,24314.34,-21.46,-1609.5
2025-04-29 09:30:00+05:30,BUY_CE,24440.2,2025-04-29 09:35:00+05:30,24406.94,Initial SL Hit,24406.94,-33.26,-2494.5
2025-04-29 09:45:00+05:30,SELL_PE,24315.55,2025-04-29 09:50:00+05:30,24302.55,SL Hit,24302.55,13.0,975.0
2025-04-29 10:10:00+05:30,SELL_PE,24351.55,2025-04-29 10:20:00+05:30,24335.42,SL Hit,24335.42,16.13,1209.75
2025-04-29 10:30:00+05:30,SELL_PE,24314.95,2025-04-29 11:05:00+05:30,24363.28,Initial SL Hit,24363.28,-48.33,-3624.75
2025-04-29 11:10:00+05:30,BUY_CE,24356.05,2025-04-29 11:50:00+05:30,24329.22,Initial SL Hit,24329.22,-26.83,-2012.25
2025-04-29 11:55:00+05:30,SELL_PE,24313.25,2025-04-29 12:35:00+05:30,24330.81,Initial SL Hit,24330.81,-17.56,-1317.0
2025-04-29 12:50:00+05:30,BUY_CE,24357.9,2025-04-29 13:25:00+05:30,24370.9,SL Hit,24370.9,13.0,975.0
2025-04-30 09:35:00+05:30,BUY_CE,24364.65,2025-04-30 09:55:00+05:30,24385.2,SL Hit,24385.2,20.55,1541.25
2025-04-30 10:25:00+05:30,SELL_PE,24330.85,2025-04-30 10:40:00+05:30,24300.4,SL Hit,24300.4,30.45,2283.75
2025-04-30 11:10:00+05:30,SELL_PE,24329.95,2025-04-30 11:15:00+05:30,24348.95,Initial SL Hit,24348.95,-19.0,-1425.0
2025-04-30 11:30:00+05:30,SELL_PE,24328.15,2025-04-30 12:20:00+05:30,24348.58,Initial SL Hit,24348.58,-20.43,-1532.25
2025-04-30 15:15:00+05:30,SELL_PE,24324.0,2025-04-30 15:25:00+05:30,24246.25,EOD Exit,24208.75,77.75,5831.25
2025-05-02 09:30:00+05:30,BUY_CE,24525.0,2025-05-02 09:40:00+05:30,24538.0,SL Hit,24538.0,13.0,975.0
2025-05-02 09:45:00+05:30,BUY_CE,24547.8,2025-05-02 10:15:00+05:30,24573.25,SL Hit,24573.25,25.45,1908.75
2025-05-02 10:45:00+05:30,SELL_PE,24486.3,2025-05-02 11:00:00+05:30,24420.45,SL Hit,24420.45,65.85,4938.75
2025-05-02 13:15:00+05:30,BUY_CE,24344.3,2025-05-02 13:20:00+05:30,24357.3,SL Hit,24357.3,13.0,975.0
2025-05-02 13:25:00+05:30,BUY_CE,24364.8,2025-05-02 13:35:00+05:30,24402.2,SL Hit,24402.2,37.4,2805.0
2025-05-02 14:25:00+05:30,SELL_PE,24306.25,2025-05-02 14:35:00+05:30,24293.25,SL Hit,24293.25,13.0,975.0
2025-05-02 14:55:00+05:30,BUY_CE,24373.95,2025-05-02 15:00:00+05:30,24386.95,SL Hit,24386.95,13.0,975.0
2025-05-02 15:05:00+05:30,BUY_CE,24354.95,2025-05-02 15:25:00+05:30,24325.35,Initial SL Hit,24325.35,-29.6,-2220.0
2025-05-05 09:45:00+05:30,BUY_CE,24454.0,2025-05-05 10:00:00+05:30,24493.28,SL Hit,24493.28,39.28,2946.0
2025-05-05 10:35:00+05:30,BUY_CE,24509.85,2025-05-05 10:40:00+05:30,24522.85,SL Hit,24522.85,13.0,975.0
2025-05-05 11:00:00+05:30,SELL_PE,24467.05,2025-05-05 11:55:00+05:30,24424.45,SL Hit,24424.45,42.6,3195.0
2025-05-05 12:50:00+05:30,BUY_CE,24469.75,2025-05-05 13:10:00+05:30,24451.07,Initial SL Hit,24451.07,-18.68,-1401.0
2025-05-05 13:15:00+05:30,SELL_PE,24439.7,2025-05-05 13:20:00+05:30,24455.61,Initial SL Hit,24455.61,-15.91,-1193.25
2025-05-05 13:30:00+05:30,BUY_CE,24467.75,2025-05-05 13:50:00+05:30,24480.75,SL Hit,24480.75,13.0,975.0
2025-05-06 09:50:00+05:30,SELL_PE,24404.5,2025-05-06 09:55:00+05:30,24391.5,SL Hit,24391.5,13.0,975.0
2025-05-06 10:00:00+05:30,SELL_PE,24400.2,2025-05-06 10:00:00+05:30,24387.2,SL Hit,24387.2,13.0,975.0
2025-05-06 10:05:00+05:30,SELL_PE,24395.1,2025-05-06 10:25:00+05:30,24379.1,SL Hit,24379.1,16.0,1200.0
2025-05-07 09:30:00+05:30,BUY_CE,24447.4,2025-05-07 09:35:00+05:30,24411.35,Initial SL Hit,24411.35,-36.05,-2703.75
2025-05-07 09:50:00+05:30,SELL_PE,24326.05,2025-05-07 10:20:00+05:30,24305.24,SL Hit,24305.24,20.81,1560.75
2025-05-07 10:35:00+05:30,BUY_CE,24362.2,2025-05-07 11:35:00+05:30,24420.4,SL Hit,24420.4,58.2,4365.0
2025-05-07 11:55:00+05:30,SELL_PE,24357.75,2025-05-07 12:15:00+05:30,24379.65,Initial SL Hit,24379.65,-21.9,-1642.5
2025-05-07 12:30:00+05:30,BUY_CE,24394.85,2025-05-07 13:00:00+05:30,24375.36,Initial SL Hit,24375.36,-19.49,-1461.75
2025-05-07 14:35:00+05:30,BUY_CE,24412.05,2025-05-07 15:25:00+05:30,24409.3,EOD Exit,24393.28,-2.75,-206.25
2025-05-08 09:30:00+05:30,SELL_PE,24381.8,2025-05-08 10:20:00+05:30,24402.78,Initial SL Hit,24402.78,-20.98,-1573.5
2025-05-08 10:25:00+05:30,BUY_CE,24404.45,2025-05-08 13:10:00+05:30,24386.8,Initial SL Hit,24386.8,-17.65,-1323.75
2025-05-08 13:55:00+05:30,SELL_PE,24330.4,2025-05-08 14:15:00+05:30,24317.4,SL Hit,24317.4,13.0,975.0
2025-05-08 14:50:00+05:30,SELL_PE,24263.05,2025-05-08 14:55:00+05:30,24250.05,SL Hit,24250.05,13.0,975.0
2025-05-09 09:30:00+05:30,SELL_PE,24047.0,2025-05-09 10:10:00+05:30,23969.69,SL Hit,23969.69,77.31,5798.25
2025-05-09 11:25:00+05:30,BUY_CE,24093.9,2025-05-09 11:30:00+05:30,24106.9,SL Hit,24106.9,13.0,975.0
2025-05-09 11:35:00+05:30,BUY_CE,24077.7,2025-05-09 11:35:00+05:30,24090.7,SL Hit,24090.7,13.0,975.0
2025-05-09 12:50:00+05:30,BUY_CE,24042.0,2025-05-09 13:00:00+05:30,24017.36,Initial SL Hit,24017.36,-24.64,-1848.0
2025-05-09 13:25:00+05:30,SELL_PE,23966.9,2025-05-09 13:50:00+05:30,23991.11,Initial SL Hit,23991.11,-24.21,-1815.75
2025-05-09 14:10:00+05:30,BUY_CE,24005.05,2025-05-09 14:15:00+05:30,24018.05,SL Hit,24018.05,13.0,975.0
2025-05-09 14:45:00+05:30,BUY_CE,24003.0,2025-05-09 14:50:00+05:30,24016.0,SL Hit,24016.0,13.0,975.0
2025-05-09 14:55:00+05:30,BUY_CE,24016.75,2025-05-09 15:25:00+05:30,24038.65,EOD Exit,24036.9,21.9,1642.5
2025-05-12 09:30:00+05:30,BUY_CE,24618.65,2025-05-12 10:00:00+05:30,24717.62,SL Hit,24717.62,98.97,7422.75
2025-05-12 14:20:00+05:30,BUY_CE,24892.15,2025-05-12 14:30:00+05:30,24905.15,SL Hit,24905.15,13.0,975.0
2025-05-13 09:30:00+05:30,SELL_PE,24743.25,2025-05-13 09:30:00+05:30,24730.25,SL Hit,24730.25,13.0,975.0
2025-05-13 09:45:00+05:30,SELL_PE,24692.55,2025-05-13 10:05:00+05:30,24750.95,Initial SL Hit,24750.95,-58.4,-4380.0
2025-05-13 10:30:00+05:30,SELL_PE,24663.3,2025-05-13 10:30:00+05:30,24650.3,SL Hit,24650.3,13.0,975.0
2025-05-13 10:55:00+05:30,BUY_CE,24759.5,2025-05-13 11:05:00+05:30,24821.37,SL Hit,24821.37,61.87,4640.25
2025-05-13 11:30:00+05:30,BUY_CE,24796.95,2025-05-13 11:30:00+05:30,24809.95,SL Hit,24809.95,13.0,975.0
2025-05-13 12:00:00+05:30,SELL_PE,24717.7,2025-05-13 12:00:00+05:30,24704.7,SL Hit,24704.7,13.0,975.0
2025-05-13 12:10:00+05:30,BUY_CE,24755.45,2025-05-13 12:10:00+05:30,24768.45,SL Hit,24768.45,13.0,975.0
2025-05-13 12:20:00+05:30,SELL_PE,24717.45,2025-05-13 12:25:00+05:30,24704.45,SL Hit,24704.45,13.0,975.0
2025-05-13 12:30:00+05:30,SELL_PE,24669.45,2025-05-13 12:35:00+05:30,24656.45,SL Hit,24656.45,13.0,975.0
2025-05-13 12:40:00+05:30,SELL_PE,24644.05,2025-05-13 13:00:00+05:30,24609.02,SL Hit,24609.02,35.03,2627.25
2025-05-13 14:35:00+05:30,BUY_CE,24614.85,2025-05-13 14:45:00+05:30,24627.85,SL Hit,24627.85,13.0,975.0
2025-05-13 14:50:00+05:30,BUY_CE,24615.1,2025-05-13 15:00:00+05:30,24590.05,Initial SL Hit,24590.05,-25.05,-1878.75
2025-05-14 09:45:00+05:30,BUY_CE,24738.6,2025-05-14 10:25:00+05:30,24756.19,SL Hit,24756.19,17.59,1319.25
2025-05-14 10:55:00+05:30,SELL_PE,24684.6,2025-05-14 11:20:00+05:30,24708.23,Initial SL Hit,24708.23,-23.63,-1772.25
2025-05-14 11:40:00+05:30,SELL_PE,24686.25,2025-05-14 11:55:00+05:30,24643.05,SL Hit,24643.05,43.2,3240.0
2025-05-14 12:35:00+05:30,SELL_PE,24621.4,2025-05-14 12:55:00+05:30,24545.55,SL Hit,24545.55,75.85,5688.75
2025-05-14 13:25:00+05:30,BUY_CE,24644.95,2025-05-14 13:25:00+05:30,24657.95,SL Hit,24657.95,13.0,975.0
2025-05-14 13:30:00+05:30,BUY_CE,24644.7,2025-05-14 14:00:00+05:30,24616.02,Initial SL Hit,24616.02,-28.68,-2151.0
2025-05-14 14:20:00+05:30,BUY_CE,24629.75,2025-05-14 14:30:00+05:30,24610.42,Initial SL Hit,24610.42,-19.33,-1449.75
2025-05-14 14:35:00+05:30,SELL_PE,24586.55,2025-05-14 14:40:00+05:30,24605.28,Initial SL Hit,24605.28,-18.73,-1404.75
2025-05-14 14:45:00+05:30,BUY_CE,24633.55,2025-05-14 15:15:00+05:30,24665.2,SL Hit,24665.2,31.65,2373.75
2025-05-15 09:30:00+05:30,SELL_PE,24596.3,2025-05-15 09:50:00+05:30,24504.51,SL Hit,24504.51,91.79,6884.25
2025-05-15 10:30:00+05:30,BUY_CE,24622.15,2025-05-15 10:45:00+05:30,24792.53,SL Hit,24792.53,170.38,12778.5
2025-05-15 11:20:00+05:30,SELL_PE,24614.9,2025-05-15 12:05:00+05:30,24680.25,Initial SL Hit,24680.25,-65.35,-4901.25
2025-05-15 12:10:00+05:30,BUY_CE,24661.05,2025-05-15 12:10:00+05:30,24674.05,SL Hit,24674.05,13.0,975.0
2025-05-15 12:15:00+05:30,BUY_CE,24697.5,2025-05-15 12:15:00+05:30,24710.5,SL Hit,24710.5,13.0,975.0
2025-05-15 12:25:00+05:30,SELL_PE,24635.55,2025-05-15 12:35:00+05:30,24677.65,Initial SL Hit,24677.65,-42.1,-3157.5
2025-05-15 12:45:00+05:30,SELL_PE,24648.15,2025-05-15 13:00:00+05:30,24689.05,Initial SL Hit,24689.05,-40.9,-3067.5
